time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-3.6666666666666714,-0.5,2.5,1.0,-4.0,-0.5,1.0,-2.0,-3.0,-4.0,-1.0,-1.0
1.0,-3.6666666666666714,0.0,3.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-1.0,-1.0
2.0,-3.6666666666666714,0.0,3.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-1.2599999999999998,-1.0
3.0,-3.6666666666666714,0.0,2.6100000000000003,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,-1.0
4.0,-3.6666666666666714,0.0,2.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,-1.0
5.0,-3.6666666666666714,-0.3249999999999998,2.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,-0.3500000000000004
6.0,-3.6666666666666714,-0.8899999999999997,2.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
7.0,-3.6666666666666714,-1.0,2.0,1.0,-4.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
8.0,-3.6666666666666714,-1.0,2.0,1.0,-3.9800000000000004,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
9.0,-3.6666666666666714,-1.0,2.0,1.0,-3.4150000000000005,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
10.0,-3.5166666666666715,-1.0,2.0,1.0,-3.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
11.0,-2.951666666666672,-1.0,2.0,1.0,-3.0,0.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
12.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-0.2799999999999993,1.0,-2.0,-3.0,-4.0,-2.0,0.0
13.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-0.844999999999999,1.0,-2.0,-3.0,-4.0,-2.0,0.0
14.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-1.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
15.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-1.0,1.0,-2.0,-3.0,-4.0,-2.0,0.0
16.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-1.0,1.0,-1.9200000000000017,-3.0,-4.0,-2.0,0.0
17.0,-2.6666666666666714,-1.0,2.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
18.0,-2.6666666666666714,-1.0,1.8300000000000012,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
19.0,-2.6666666666666714,-1.0,1.2650000000000003,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
20.0,-2.6666666666666714,-1.0,1.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
21.0,-2.6666666666666714,-1.0,1.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
22.0,-2.6666666666666714,-1.0,1.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
23.0,-2.6666666666666714,-1.0,1.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
24.0,-2.6666666666666714,-1.1199999999999988,1.0,1.0,-3.0,-1.5599999999999994,1.0,-1.0,-3.0,-4.0,-2.0,0.0
25.0,-2.6666666666666714,-2.0,1.0,1.0,-3.0,-2.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
26.0,-2.6666666666666714,-2.0,1.0,1.0,-3.0,-2.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
27.0,-2.6666666666666714,-2.0,1.0,1.0,-3.0,-2.0,1.0,-1.0,-3.0,-4.0,-2.0,0.0
28.0,-2.6666666666666714,-2.0,1.0,1.0,-3.0,-2.0,1.0,-0.3600000000000021,-3.0,-4.0,-2.0,0.0
29.0,-2.6666666666666714,-2.0,1.0,1.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
30.0,-2.6666666666666714,-2.0,0.5500000000000014,1.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
31.0,-2.6666666666666714,-2.0,0.0,1.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
32.0,-2.826666666666667,-2.0,0.0,1.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
33.0,-3.6666666666666714,-2.0,0.0,1.1449999999999976,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
34.0,-3.6666666666666714,-2.0,0.0,1.709999999999999,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
35.0,-3.6666666666666714,-2.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
36.0,-3.6666666666666714,-2.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
37.0,-3.6666666666666714,-2.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
38.0,-3.6666666666666714,-2.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
39.0,-3.6666666666666714,-2.0349999999999997,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
40.0,-3.6666666666666714,-2.5999999999999983,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
41.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-2.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
42.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-2.4599999999999946,1.0,0.0,-3.0,-4.0,-2.0,0.0
43.0,-3.6666666666666714,-3.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
44.0,-3.6666666666666714,-2.6400000000000032,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
45.0,-2.8166666666666744,-2.0750000000000015,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
46.0,-2.6666666666666714,-2.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
47.0,-2.6666666666666714,-2.0,0.0,2.0,-3.0,-3.0,1.0,0.0,-3.0,-4.0,-2.0,0.0
